frame_id,t_cam,t_pp,t_det_s,t_det_e,t_dec,t_aud,ran_infer
1424,1440.18,1440.19,1440.19,1440.32,1440.32,0,1
1428,1440.32,1440.33,1440.33,1440.49,1440.49,0,1
1433,1440.49,1440.5,1440.5,1440.7,1440.7,0,1
1440,1440.7,1440.71,1440.71,1440.92,1440.92,0,1
1446,1440.92,1440.93,1440.93,1441.09,1441.09,0,1
1452,1441.09,1441.11,1441.11,1441.3,1441.3,0,1
1458,1441.31,1441.31,1441.31,1441.47,1441.47,0,1
1463,1441.47,1441.48,1441.48,1441.63,1441.63,0,1
1468,1441.63,1441.64,1441.64,1441.8,1441.81,0,1
1473,1441.81,1441.81,1441.81,1441.99,1441.99,0,1
1478,1441.99,1442,1442,1442.2,1442.2,0,1
1484,1442.2,1442.21,1442.21,1442.37,1442.37,0,1
1489,1442.37,1442.38,1442.38,1442.55,1442.55,0,1
1494,1442.55,1442.56,1442.56,1442.69,1442.69,0,1
1498,1442.69,1442.7,1442.7,1442.85,1442.85,0,1
1503,1442.86,1442.86,1442.86,1443.1,1443.1,0,1
1510,1443.1,1443.11,1443.11,1443.28,1443.28,0,1
1516,1443.28,1443.29,1443.29,1443.42,1443.42,0,1
1520,1443.42,1443.43,1443.43,1443.61,1443.61,0,1
1526,1443.61,1443.61,1443.61,1443.78,1443.78,1443.78,1
1531,1443.78,1443.79,1443.79,1444.05,1444.05,0,1
1537,1444.05,1444.05,1444.05,1444.37,1444.37,0,1
1546,1444.37,1444.37,1444.37,1444.57,1444.57,0,1
1552,1444.57,1444.57,1444.57,1444.73,1444.73,0,1
1556,1444.73,1444.74,1444.74,1444.91,1444.91,0,1
1562,1444.91,1444.92,1444.92,1445.08,1445.08,0,1
1567,1445.09,1445.1,1445.1,1445.32,1445.32,0,1
1574,1445.32,1445.33,1445.33,1445.49,1445.49,0,1
1580,1445.49,1445.5,1445.5,1445.66,1445.66,0,1
1585,1445.66,1445.66,1445.66,1445.85,1445.85,0,1
1590,1445.85,1445.86,1445.86,1446.02,1446.02,0,1
1595,1446.02,1446.03,1446.03,1446.2,1446.2,0,1
1601,1446.2,1446.21,1446.21,1446.45,1446.45,0,1
1608,1446.45,1446.46,1446.46,1446.62,1446.62,0,1
1613,1446.62,1446.63,1446.63,1446.79,1446.79,0,1
1619,1446.79,1446.81,1446.81,1446.98,1446.98,1446.98,1
1624,1446.98,1446.99,1446.99,1447.24,1447.24,1447.24,1
1631,1447.24,1447.26,1447.26,1447.48,1447.48,0,1
1638,1447.48,1447.49,1447.49,1447.65,1447.65,0,1
1644,1447.65,1447.66,1447.66,1447.81,1447.81,0,1
1649,1447.81,1447.82,1447.82,1448.01,1448.01,1448.01,1
1655,1448.01,1448.01,1448.01,1448.16,1448.16,1448.16,1
1660,1448.16,1448.17,1448.17,1448.33,1448.33,0,1
1665,1448.34,1448.34,1448.34,1448.59,1448.59,0,1
1672,1448.59,1448.6,1448.6,1448.74,1448.74,0,1
1677,1448.74,1448.75,1448.75,1448.92,1448.92,0,1
1682,1448.92,1448.92,1448.92,1449.12,1449.12,0,1
1688,1449.12,1449.13,1449.13,1449.31,1449.31,0,1
1694,1449.31,1449.32,1449.32,1449.5,1449.5,0,1
1700,1449.5,1449.51,1449.51,1449.71,1449.72,0,1
1705,1449.72,1449.73,1449.73,1449.86,1449.86,0,1
1709,1449.86,1449.87,1449.87,1450.01,1450.01,0,1
1714,1450.01,1450.02,1450.02,1450.18,1450.19,0,1
1721,1450.19,1450.19,1450.19,1450.35,1450.35,0,1
1725,1450.35,1450.36,1450.36,1450.58,1450.58,0,1
1732,1450.58,1450.6,1450.6,1450.8,1450.81,0,1
1739,1450.81,1450.81,1450.81,1451,1451,0,1
1745,1451,1451.01,1451.01,1451.22,1451.22,0,1
1751,1451.22,1451.24,1451.24,1451.44,1451.44,0,1
1758,1451.44,1451.45,1451.45,1451.62,1451.62,0,1
1763,1451.62,1451.62,1451.62,1451.82,1451.82,0,1
1769,1451.82,1451.83,1451.83,1451.99,1451.99,0,1
1775,1451.99,1452,1452,1452.14,1452.14,0,1
1779,1452.14,1452.15,1452.15,1452.33,1452.33,0,1
1785,1452.33,1452.34,1452.34,1452.5,1452.5,0,1
